"","Data","Fechamento"
"319","23/06/2020",99.218
"320","22/06/2020",99.119
"321","19/06/2020",99.585
"322","18/06/2020",99.316
"323","17/06/2020",98.923
"324","16/06/2020",97.154
"325","15/06/2020",95.904
"326","12/06/2020",96.402
"327","10/06/2020",97.807
"328","09/06/2020",100.083
"329","08/06/2020",101.311
"330","05/06/2020",97.931
"331","04/06/2020",97.257
"332","03/06/2020",96.08
"333","02/06/2020",94.8
"334","01/06/2020",92.156
"335","29/05/2020",90.829
"336","28/05/2020",89.813
"337","27/05/2020",91.254
"338","26/05/2020",89.248
"339","25/05/2020",89.232
"340","22/05/2020",87.438
"341","21/05/2020",86.318
"342","20/05/2020",84.608
"343","19/05/2020",83.856
"344","18/05/2020",84.504
"345","15/05/2020",80.46
"346","14/05/2020",82.347
"347","13/05/2020",81.331
"348","12/05/2020",80.419
"349","11/05/2020",81.912
"350","08/05/2020",83.581
"351","07/05/2020",81.782
"352","06/05/2020",81.653
"353","05/05/2020",83.218
"354","04/05/2020",82.015
"355","30/04/2020",83.052
"356","29/04/2020",87.252
"357","28/04/2020",84.504
"358","27/04/2020",81.129
"359","24/04/2020",79.506
"360","23/04/2020",82.539
"361","22/04/2020",83.467
"362","20/04/2020",82.487
"363","17/04/2020",82.197
"364","16/04/2020",82.378
"365","15/04/2020",82.43
"366","14/04/2020",83.156
"367","13/04/2020",82.279
"368","09/04/2020",81.152
"369","08/04/2020",82.066
"370","07/04/2020",79.491
"371","06/04/2020",77.223
"372","03/04/2020",71.913
"373","02/04/2020",74.996
"374","01/04/2020",73.916
"375","31/03/2020",74.716
"376","30/03/2020",77.965
"377","27/03/2020",76.123
"378","26/03/2020",80.597
"379","25/03/2020",77.446
"380","24/03/2020",71.633
"381","23/03/2020",66.302
"382","20/03/2020",68.726
"383","19/03/2020",68.087
"384","18/03/2020",70.771
"385","17/03/2020",76.102
"386","16/03/2020",73.024
"387","13/03/2020",83.052
"388","12/03/2020",74.877
"389","11/03/2020",83.613
"390","10/03/2020",96.133
"391","09/03/2020",89.364
"392","06/03/2020",101.614
"393","05/03/2020",106.696
"394","04/03/2020",111.508
"395","03/03/2020",109.525
"396","02/03/2020",111.394
"397","28/02/2020",108.964
"398","27/02/2020",106.93
"399","26/02/2020",110.106
"400","21/02/2020",118.609
"401","20/02/2020",119.258
"402","19/02/2020",121.412
"403","18/02/2020",120.114
"404","17/02/2020",120.125
"405","14/02/2020",119.346
"406","13/02/2020",120.581
"407","12/02/2020",121.838
"408","11/02/2020",120.462
"409","10/02/2020",117.907
"410","07/02/2020",118.418
"411","06/02/2020",120.206
"412","05/02/2020",121.39
"413","04/02/2020",120.681
"414","03/02/2020",119.721
