Date,Adj Close
2002-02-28,0.3332
2002-01-31,0.3795
2001-12-31,0.3362
2001-11-30,0.327
2001-10-31,0.2696
2001-09-28,0.2381
2001-08-31,0.2848
2001-07-31,0.2885
2001-06-29,0.357
2001-05-31,0.3063
2001-04-30,0.3914
2001-03-30,0.3389
2001-02-28,0.2802
2001-01-31,0.3319
2000-12-29,0.2285
2000-11-30,0.2533
2000-10-31,0.3003
2000-09-29,0.3954
2000-08-31,0.9356
2000-07-31,0.7801
2000-06-30,0.8042
2000-05-31,0.6448
2000-04-28,0.9524
2000-03-31,1.0426
2000-02-29,0.8799
2000-01-31,0.7965
1999-12-31,0.7893
